tickerBbg,nameEn,nameCn,positionAmount,longShort,market
6501 JP Equity,HITACHI ORD,日立,148674.57921006944,long,Japan
KGX GR Equity,KION GROUP ORD,,148266.01513671875,long,Germany
301018 CH Equity,SHENLING ORD A,,147999.68521205356,long,China
MIR US Equity,MIRION TECHNOLOGIES CL A ORD,Mirion,147163.521484375,long,United States
KION GY Equity,KION GROUP ORD,Kion,137029.1015625,long,德国
FLR US Equity,FLUOR ORD,福特,122589.3980806791,long,United States
ZIM US Equity,ZIM INTEGRATED SHIPPING SERVICES ORD,,122463.36588541667,short,Israel
603737 CH Equity,SKSHU PAINT ORD A,,116289.70483896683,long,China
SMR US Equity,NUSCALE POWER CL A ORD,SMR,114279.23059082031,short,United States
1133 HK Equity,HARBIN ELECTRIC ORD H,,111192.01126534598,long,China
HMDPF US Equity,HAMMOND POWER SOLUTIONS ORD,,107680.35550315163,short,Canada
MP US Equity,MP MATERIALS CL A ORD,,107060.8447265625,short,United States
AVAV US Equity,AEROVIRONMENT ORD,,98432.49934895833,long,United States
GT US Equity,GOODYEAR TIRE AND RUBBER ORD,,97778.32340494792,long,United States
7261 JP Equity,MAZDA MOTOR ORD,马自达,94075.89035259679,short,Japan
600660 CH Equity,FUYAO GLASS ORD A,福耀玻璃,81809.66895918413,long,China
ARKK US Equity,ARK INNOVATION ETF,,79895.45808738426,short,United States
002444 CH Equity,GREAT STAR IND ORD A,科达利,79072.5361328125,long,China
1157 HK Equity,ZOOMLION ORD H,中联重科,75826.27417413119,short,China
9868 HK Equity,XPENG-W ORD,小鹏,75703.517578125,short,China
298040 KS Equity,HYOSUNG HEAVY ORD,Hyosung Heavy,71279.65529691256,short,South Korea
9866 HK Equity,NIO-SW ORD,蔚来,69225.58081054688,short,China
DQ US Equity,DAQO NEW ENERGY ADR REP 5 ORD,,68894.58426076062,short,China
688400 CH Equity,LUSTER ORD A,,64966.31494140625,long,China
BE US Equity,BLOOM ENERGY CL A ORD,BLOOM,62392.888671875,long,United States
GNRC US Equity,GENERAC HOLDINGS ORD,generac,52415.64203306686,long,United States
6861 JP Equity,KEYENCE ORD,基恩士,51168.06603255208,short,Japan
7201 JP Equity,NISSAN MOTOR ORD,日产,50217.39815887623,short,Japan
300866 CH Equity,ANKER INNO ORD A,安克创新,49783.4609375,long,China
600438 CH Equity,TONGWEI ORD A,,37912.76460920061,short,China
ACCE IN Equity,ACTION CONSTRUCTION EQUIPMENT ORD,ACCE,37670.76953125,long,India
AHT LN Equity,ASHTEAD GROUP ORD,AHT,32936.62744140625,long,United Kingdom
010120 KS Equity,LS ELECTRIC ORD,LS ELECTRIC,32065.318115234375,short,South Korea
300316 CH Equity,JINGSHENG MECHANICAL & ELEC ORD A,晶盛机电,31730.167093549455,short,China
603699 CH Equity,NEWAY VALVE ORD A,,28537.219482421875,long,China
2015 HK Equity,LI AUTO-W ORD,理想,28047.490604795257,long,China
RNO FP Equity,RENAULT ORD,雷诺,23551.62158203125,short,France
LEU US Equity,CENTRUS ENERGY CL A ORD,Centurs energy,23219.111219618055,long,United States
NUE US Equity,NUCOR ORD,,22812.399169921875,long,United States
826 HK Equity,TIANGONG INT'L ORD,天工国际,19940.61565328296,long,China
TTMT IN Equity,TATA MOTORS,Tata Motor,-161856,short,印度
